Date,kbo_games,kbo_cancelled,kbo_any_game,kbo_seoul_games,kbo_first_start,kbo_main_start,kbo_games_19,kbo_games_21,kbo_overlap_19,kbo_overlap_21,kbo_is_postseason,sched__kbo_games,sched__kbo_any_game,sched__kbo_seoul_games,sched__kbo_first_start,sched__kbo_main_start,sched__kbo_games_19,sched__kbo_games_21,sched__kbo_overlap_19,sched__kbo_overlap_21,sched__kbo_is_postseason
2021-03-21,5.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,5,1,1,13.0,13.0,0,0,0.0,0.0,0
2021-03-22,5.0,0.0,1.0,1.0,13.0,13.0,1.0,1.0,1.0,0.25,0.0,5,1,1,13.0,13.0,1,1,1.0,0.25,0
2021-03-23,5.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,5,1,1,13.0,13.0,0,0,0.0,0.0,0
2021-03-25,5.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,5,1,1,13.0,13.0,0,0,0.0,0.0,0
2021-03-26,5.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,5,1,1,13.0,13.0,0,0,0.0,0.0,0
2021-03-28,4.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,4,1,1,13.0,13.0,0,0,0.0,0.0,0
2021-03-29,1.0,0.0,1.0,1.0,18.0,18.0,1.0,1.0,1.0,0.25,0.0,1,1,1,18.0,18.0,1,1,1.0,0.25,0
2021-03-30,5.0,0.0,1.0,1.0,12.0,13.0,1.0,1.0,1.0,0.25,0.0,5,1,1,12.0,13.0,1,1,1.0,0.25,0
2021-04-03,1.0,4.0,1.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5,1,2,14.0,14.0,0,0,0.0,0.0,0
2021-04-04,5.0,0.0,1.0,2.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5,1,2,14.0,14.0,0,0,0.0,0.0,0
2021-04-06,5.0,0.0,1.0,2.0,18.5,18.5,5.0,5.0,1.0,0.75,0.0,5,1,2,18.5,18.5,5,5,1.0,0.75,0
2021-04-07,5.0,0.0,1.0,2.0,18.5,18.5,5.0,5.0,1.0,0.75,0.0,5,1,2,18.5,18.5,5,5,1.0,0.75,0
2021-04-08,5.0,0.0,1.0,2.0,18.5,18.5,5.0,5.0,1.0,0.75,0.0,5,1,2,18.5,18.5,5,5,1.0,0.75,0
2021-04-09,5.0,0.0,1.0,1.0,18.5,18.5,5.0,5.0,1.0,0.75,0.0,5,1,1,18.5,18.5,5,5,1.0,0.75,0
2021-04-10,5.0,0.0,1.0,1.0,14.0,17.0,3.0,0.0,1.0,0.0,0.0,5,1,1,14.0,17.0,3,0,1.0,0.0,0
2021-04-11,5.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5,1,1,14.0,14.0,0,0,0.0,0.0,0
