Date,wx_temperature_2m_mean,wx_temperature_2m_max,wx_temperature_2m_min,wx_precipitation_sum,wx_precipitation_hours,wx_snowfall_sum,wx_cloud_cover_mean,wx_wind_speed_10m_max,obs_precip_evening
2023-06-01,20.6,24.4,17.0,1.1,3.0,0.0,68,11.6,0.0
2023-06-02,18.8,23.4,15.8,0.7,6.0,0.0,71,17.1,0.0
2023-06-03,19.5,25.5,14.2,0.0,0.0,0.0,21,22.7,0.0
2023-06-04,18.8,24.0,14.1,0.0,0.0,0.0,55,18.8,0.0
2023-06-05,18.8,22.5,14.7,0.0,0.0,0.0,61,22.5,0.0
2023-06-06,18.4,22.5,14.6,0.0,0.0,0.0,52,18.7,0.0
2023-06-07,20.0,24.8,16.3,0.4,3.0,0.0,97,18.0,0.0
2023-06-08,19.2,22.7,16.9,20.8,10.0,0.0,93,16.6,0.2
2023-06-09,20.7,25.8,16.4,3.1,3.0,0.0,55,12.5,0.0
2023-06-10,21.1,27.4,18.1,26.1,11.0,0.0,82,16.2,8.5
2023-06-11,20.2,23.3,17.0,15.5,15.0,0.0,49,11.4,2.0
2023-06-12,20.9,25.4,17.2,0.7,4.0,0.0,64,13.7,0.0
2023-06-13,20.0,23.7,16.9,0.5,2.0,0.0,26,20.1,0.0
2023-06-14,19.9,24.7,14.3,2.7,2.0,0.0,29,9.9,0.0
2023-06-15,20.5,25.6,15.9,0.9,5.0,0.0,50,14.4,0.0
2023-06-16,20.9,25.8,16.6,0.0,0.0,0.0,18,14.8,0.0
2023-06-17,21.4,27.9,16.0,0.0,0.0,0.0,65,16.8,0.0
2023-06-18,23.1,29.3,18.4,0.0,0.0,0.0,55,15.6,0.0
2023-06-19,26.3,33.9,20.3,0.0,0.0,0.0,60,14.1,0.0
2023-06-20,23.0,25.9,20.4,4.9,7.0,0.0,95,12.9,0.5
2023-06-21,21.0,24.0,19.0,35.7,14.0,0.0,77,14.1,0.0
2023-06-22,20.0,24.4,15.1,1.4,4.0,0.0,24,18.6,0.0
2023-06-23,22.1,27.7,18.1,0.1,1.0,0.0,57,9.5,0.0
2023-06-24,24.2,28.3,20.4,0.1,1.0,0.0,28,10.6,0.0
2023-06-25,25.4,31.4,19.8,0.0,0.0,0.0,56,11.2,0.0
2023-06-26,23.1,26.1,21.2,43.8,19.0,0.0,98,24.7,9.4
2023-06-27,23.5,27.3,20.4,3.2,9.0,0.0,53,26.6,0.0
2023-06-28,24.0,28.1,20.9,2.1,11.0,0.0,91,16.9,0.0
2023-06-29,23.1,24.5,22.3,45.8,18.0,0.0,100,23.4,7.5
2023-06-30,24.0,26.8,21.8,10.7,17.0,0.0,69,10.3,0.0
2023-07-01,25.5,31.3,21.4,0.2,2.0,0.0,49,14.1,0.0
2023-07-02,24.3,29.0,21.1,0.2,2.0,0.0,90,10.5,0.0
2023-07-03,26.8,32.6,21.3,0.1,1.0,0.0,67,8.2,0.0
2023-07-04,24.9,28.0,22.6,29.6,15.0,0.0,100,18.8,7.4
2023-07-05,23.4,26.2,21.0,19.6,8.0,0.0,55,28.8,0.0
2023-07-06,25.1,30.0,20.6,0.0,0.0,0.0,75,19.9,0.0
2023-07-07,24.7,29.9,20.9,0.0,0.0,0.0,56,19.5,0.0
2023-07-08,23.8,28.9,19.7,0.5,2.0,0.0,72,12.6,0.4
2023-07-09,23.7,26.1,22.2,37.3,11.0,0.0,94,17.3,0.1
